ARRAY SIZE: 10000000 | NUMBER OF TESTS: 100
NUMBER OF THREADS: 4
Test 1 (Standard)	Time: 4.143s | 4143.0ms
Test 1 (Parallel)	Time: 3.158s | 3158.0ms
Test 2 (Standard)	Time: 4.998s | 4998.0ms
Test 2 (Parallel)	Time: 2.571s | 2571.0ms
Test 3 (Standard)	Time: 5.342s | 5342.0ms
Test 3 (Parallel)	Time: 2.417s | 2417.0ms
Test 4 (Standard)	Time: 4.611s | 4611.0ms
Test 4 (Parallel)	Time: 2.45s | 2450.0ms
Test 5 (Standard)	Time: 4.865s | 4865.0ms
Test 5 (Parallel)	Time: 2.243s | 2243.0ms
Test 6 (Standard)	Time: 4.435s | 4435.0ms
Test 6 (Parallel)	Time: 2.47s | 2470.0ms
Test 7 (Standard)	Time: 4.583s | 4583.0ms
Test 7 (Parallel)	Time: 2.415s | 2415.0ms
Test 8 (Standard)	Time: 4.489s | 4489.0ms
Test 8 (Parallel)	Time: 2.523s | 2523.0ms
Test 9 (Standard)	Time: 4.995s | 4995.0ms
Test 9 (Parallel)	Time: 2.102s | 2102.0ms
Test 10 (Standard)	Time: 4.585s | 4585.0ms
Test 10 (Parallel)	Time: 2.475s | 2475.0ms
Test 11 (Standard)	Time: 4.932s | 4932.0ms
Test 11 (Parallel)	Time: 2.363s | 2363.0ms
Test 12 (Standard)	Time: 6.046s | 6046.0ms
Test 12 (Parallel)	Time: 2.747s | 2747.0ms
Test 13 (Standard)	Time: 4.708s | 4708.0ms
Test 13 (Parallel)	Time: 2.542s | 2542.0ms
Test 14 (Standard)	Time: 6.362s | 6362.0ms
Test 14 (Parallel)	Time: 4.024s | 4024.0ms
Test 15 (Standard)	Time: 4.752s | 4752.0ms
Test 15 (Parallel)	Time: 2.296s | 2296.0ms
Test 16 (Standard)	Time: 5.593s | 5593.0ms
Test 16 (Parallel)	Time: 2.301s | 2301.0ms
Test 17 (Standard)	Time: 4.585s | 4585.0ms
Test 17 (Parallel)	Time: 2.64s | 2640.0ms
Test 18 (Standard)	Time: 6.534s | 6534.0ms
Test 18 (Parallel)	Time: 3.046s | 3046.0ms
Test 19 (Standard)	Time: 6.293s | 6293.0ms
Test 19 (Parallel)	Time: 3.537s | 3537.0ms
Test 20 (Standard)	Time: 4.98s | 4980.0ms
Test 20 (Parallel)	Time: 2.316s | 2316.0ms
Test 21 (Standard)	Time: 5.764s | 5764.0ms
Test 21 (Parallel)	Time: 2.127s | 2127.0ms
Test 22 (Standard)	Time: 4.464s | 4464.0ms
Test 22 (Parallel)	Time: 2.557s | 2557.0ms
Test 23 (Standard)	Time: 6.236s | 6236.0ms
Test 23 (Parallel)	Time: 2.93s | 2930.0ms
Test 24 (Standard)	Time: 4.97s | 4970.0ms
Test 24 (Parallel)	Time: 2.406s | 2406.0ms
Test 25 (Standard)	Time: 6.24s | 6240.0ms
Test 25 (Parallel)	Time: 2.904s | 2904.0ms
Test 26 (Standard)	Time: 6.451s | 6451.0ms
Test 26 (Parallel)	Time: 2.868s | 2868.0ms
Test 27 (Standard)	Time: 4.538s | 4538.0ms
Test 27 (Parallel)	Time: 2.468s | 2468.0ms
Test 28 (Standard)	Time: 4.818s | 4818.0ms
Test 28 (Parallel)	Time: 2.324s | 2324.0ms
Test 29 (Standard)	Time: 6.465s | 6465.0ms
Test 29 (Parallel)	Time: 2.802s | 2802.0ms
Test 30 (Standard)	Time: 6.159s | 6159.0ms
Test 30 (Parallel)	Time: 3.007s | 3007.0ms
Test 31 (Standard)	Time: 6.293s | 6293.0ms
Test 31 (Parallel)	Time: 2.8s | 2800.0ms
Test 32 (Standard)	Time: 4.508s | 4508.0ms
Test 32 (Parallel)	Time: 1.784s | 1784.0ms
Test 33 (Standard)	Time: 5.307s | 5307.0ms
Test 33 (Parallel)	Time: 2.916s | 2916.0ms
Test 34 (Standard)	Time: 6.257s | 6257.0ms
Test 34 (Parallel)	Time: 2.844s | 2844.0ms
Test 35 (Standard)	Time: 6.291s | 6291.0ms
Test 35 (Parallel)	Time: 3.07s | 3070.0ms
Test 36 (Standard)	Time: 4.78s | 4780.0ms
Test 36 (Parallel)	Time: 1.701s | 1701.0ms
Test 37 (Standard)	Time: 4.414s | 4414.0ms
Test 37 (Parallel)	Time: 2.733s | 2733.0ms
Test 38 (Standard)	Time: 5.575s | 5575.0ms
Test 38 (Parallel)	Time: 1.635s | 1635.0ms
Test 39 (Standard)	Time: 4.464s | 4464.0ms
Test 39 (Parallel)	Time: 2.709s | 2709.0ms
Test 40 (Standard)	Time: 6.186s | 6186.0ms
Test 40 (Parallel)	Time: 3.025s | 3025.0ms
Test 41 (Standard)	Time: 6.268s | 6268.0ms
Test 41 (Parallel)	Time: 2.801s | 2801.0ms
Test 42 (Standard)	Time: 6.274s | 6274.0ms
Test 42 (Parallel)	Time: 2.854s | 2854.0ms
Test 43 (Standard)	Time: 4.461s | 4461.0ms
Test 43 (Parallel)	Time: 1.796s | 1796.0ms
Test 44 (Standard)	Time: 4.893s | 4893.0ms
Test 44 (Parallel)	Time: 1.779s | 1779.0ms
Test 45 (Standard)	Time: 4.435s | 4435.0ms
Test 45 (Parallel)	Time: 2.562s | 2562.0ms
Test 46 (Standard)	Time: 4.758s | 4758.0ms
Test 46 (Parallel)	Time: 1.77s | 1770.0ms
Test 47 (Standard)	Time: 4.433s | 4433.0ms
Test 47 (Parallel)	Time: 2.51s | 2510.0ms
Test 48 (Standard)	Time: 6.153s | 6153.0ms
Test 48 (Parallel)	Time: 2.831s | 2831.0ms
Test 49 (Standard)	Time: 4.469s | 4469.0ms
Test 49 (Parallel)	Time: 1.829s | 1829.0ms
Test 50 (Standard)	Time: 4.968s | 4968.0ms
Test 50 (Parallel)	Time: 1.725s | 1725.0ms
Test 51 (Standard)	Time: 4.443s | 4443.0ms
Test 51 (Parallel)	Time: 3.007s | 3007.0ms
