ARRAY SIZE: 10000000 | NUMBER OF TESTS: 100
NUMBER OF THREADS: 8
Test 56 (Standard)	Time: 4.117s | 4117.0ms
Test 56 (Parallel)	Time: 2.793s | 2793.0ms
Test 57 (Standard)	Time: 4.406s | 4406.0ms
Test 57 (Parallel)	Time: 1.664s | 1664.0ms
Test 58 (Standard)	Time: 4.028s | 4028.0ms
Test 58 (Parallel)	Time: 2.38s | 2380.0ms
Test 59 (Standard)	Time: 4.348s | 4348.0ms
Test 59 (Parallel)	Time: 1.566s | 1566.0ms
Test 60 (Standard)	Time: 4.021s | 4021.0ms
Test 60 (Parallel)	Time: 2.322s | 2322.0ms
Test 61 (Standard)	Time: 4.366s | 4366.0ms
Test 61 (Parallel)	Time: 1.66s | 1660.0ms
Test 62 (Standard)	Time: 4.013s | 4013.0ms
Test 62 (Parallel)	Time: 2.222s | 2222.0ms
Test 63 (Standard)	Time: 4.338s | 4338.0ms
Test 63 (Parallel)	Time: 1.654s | 1654.0ms
Test 64 (Standard)	Time: 4.086s | 4086.0ms
Test 64 (Parallel)	Time: 2.416s | 2416.0ms
Test 65 (Standard)	Time: 4.444s | 4444.0ms
Test 65 (Parallel)	Time: 1.698s | 1698.0ms
Test 66 (Standard)	Time: 4.049s | 4049.0ms
Test 66 (Parallel)	Time: 2.302s | 2302.0ms
Test 67 (Standard)	Time: 4.349s | 4349.0ms
Test 67 (Parallel)	Time: 1.772s | 1772.0ms
Test 68 (Standard)	Time: 4.078s | 4078.0ms
Test 68 (Parallel)	Time: 2.618s | 2618.0ms
Test 69 (Standard)	Time: 5.596s | 5596.0ms
Test 69 (Parallel)	Time: 2.783s | 2783.0ms
Test 70 (Standard)	Time: 4.479s | 4479.0ms
Test 70 (Parallel)	Time: 1.996s | 1996.0ms
Test 71 (Standard)	Time: 4.515s | 4515.0ms
Test 71 (Parallel)	Time: 2.211s | 2211.0ms
Test 72 (Standard)	Time: 4.38s | 4380.0ms
Test 72 (Parallel)	Time: 2.175s | 2175.0ms
Test 73 (Standard)	Time: 5.765s | 5765.0ms
Test 73 (Parallel)	Time: 2.684s | 2684.0ms
Test 74 (Standard)	Time: 4.404s | 4404.0ms
Test 74 (Parallel)	Time: 2.228s | 2228.0ms
Test 75 (Standard)	Time: 4.51s | 4510.0ms
Test 75 (Parallel)	Time: 2.215s | 2215.0ms
Test 76 (Standard)	Time: 4.385s | 4385.0ms
Test 76 (Parallel)	Time: 2.236s | 2236.0ms
Test 77 (Standard)	Time: 4.363s | 4363.0ms
Test 77 (Parallel)	Time: 2.214s | 2214.0ms
Test 78 (Standard)	Time: 4.391s | 4391.0ms
Test 78 (Parallel)	Time: 2.212s | 2212.0ms
Test 79 (Standard)	Time: 4.406s | 4406.0ms
Test 79 (Parallel)	Time: 2.201s | 2201.0ms
Test 80 (Standard)	Time: 5.838s | 5838.0ms
Test 80 (Parallel)	Time: 2.799s | 2799.0ms
Test 81 (Standard)	Time: 4.594s | 4594.0ms
Test 81 (Parallel)	Time: 2.239s | 2239.0ms
Test 82 (Standard)	Time: 4.056s | 4056.0ms
Test 82 (Parallel)	Time: 2.258s | 2258.0ms
Test 83 (Standard)	Time: 4.432s | 4432.0ms
Test 83 (Parallel)	Time: 2.127s | 2127.0ms
Test 84 (Standard)	Time: 5.868s | 5868.0ms
Test 84 (Parallel)	Time: 2.735s | 2735.0ms
Test 85 (Standard)	Time: 4.448s | 4448.0ms
Test 85 (Parallel)	Time: 2.14s | 2140.0ms
Test 86 (Standard)	Time: 5.81s | 5810.0ms
Test 86 (Parallel)	Time: 2.677s | 2677.0ms
Test 87 (Standard)	Time: 4.645s | 4645.0ms
Test 87 (Parallel)	Time: 2.186s | 2186.0ms
Test 88 (Standard)	Time: 5.168s | 5168.0ms
Test 88 (Parallel)	Time: 1.652s | 1652.0ms
Test 89 (Standard)	Time: 4.629s | 4629.0ms
Test 89 (Parallel)	Time: 2.428s | 2428.0ms
Test 90 (Standard)	Time: 4.543s | 4543.0ms
Test 90 (Parallel)	Time: 2.379s | 2379.0ms
Test 91 (Standard)	Time: 4.551s | 4551.0ms
Test 91 (Parallel)	Time: 2.215s | 2215.0ms
Test 92 (Standard)	Time: 4.461s | 4461.0ms
Test 92 (Parallel)	Time: 2.402s | 2402.0ms
Test 93 (Standard)	Time: 6.055s | 6055.0ms
Test 93 (Parallel)	Time: 3.115s | 3115.0ms
Test 94 (Standard)	Time: 4.743s | 4743.0ms
Test 94 (Parallel)	Time: 2.35s | 2350.0ms
Test 95 (Standard)	Time: 4.712s | 4712.0ms
Test 95 (Parallel)	Time: 2.314s | 2314.0ms
Test 96 (Standard)	Time: 4.578s | 4578.0ms
Test 96 (Parallel)	Time: 2.238s | 2238.0ms
Test 97 (Standard)	Time: 6.029s | 6029.0ms
Test 97 (Parallel)	Time: 2.929s | 2929.0ms
Test 98 (Standard)	Time: 4.74s | 4740.0ms
Test 98 (Parallel)	Time: 2.288s | 2288.0ms
Test 99 (Standard)	Time: 4.545s | 4545.0ms
Test 99 (Parallel)	Time: 2.381s | 2381.0ms
Test 100 (Standard)	Time: 6.012s | 6012.0ms
Test 100 (Parallel)	Time: 2.928s | 2928.0ms
Average time for standard merge sort: 4.682s | 4682.0ms
Average time for parallel merge sort: 2.334s | 2334.0ms
