ARRAY SIZE: 10000000 | NUMBER OF TESTS: 100
NUMBER OF THREADS: 16
Test 1 (Standard)	Time: 4.049s | 4049.0ms
Test 1 (Parallel)	Time: 3.379s | 3379.0ms
Test 2 (Standard)	Time: 4.597s | 4597.0ms
Test 2 (Parallel)	Time: 2.401s | 2401.0ms
Test 3 (Standard)	Time: 4.744s | 4744.0ms
Test 3 (Parallel)	Time: 2.673s | 2673.0ms
Test 4 (Standard)	Time: 4.465s | 4465.0ms
Test 4 (Parallel)	Time: 2.71s | 2710.0ms
Test 5 (Standard)	Time: 4.915s | 4915.0ms
Test 5 (Parallel)	Time: 2.12s | 2120.0ms
Test 6 (Standard)	Time: 4.17s | 4170.0ms
Test 6 (Parallel)	Time: 2.412s | 2412.0ms
Test 7 (Standard)	Time: 4.775s | 4775.0ms
Test 7 (Parallel)	Time: 2.184s | 2184.0ms
Test 8 (Standard)	Time: 4.18s | 4180.0ms
Test 8 (Parallel)	Time: 2.316s | 2316.0ms
Test 9 (Standard)	Time: 4.144s | 4144.0ms
Test 9 (Parallel)	Time: 2.471s | 2471.0ms
Test 10 (Standard)	Time: 4.656s | 4656.0ms
Test 10 (Parallel)	Time: 1.639s | 1639.0ms
Test 11 (Standard)	Time: 4.69s | 4690.0ms
Test 11 (Parallel)	Time: 2.363s | 2363.0ms
Test 12 (Standard)	Time: 4.147s | 4147.0ms
Test 12 (Parallel)	Time: 2.402s | 2402.0ms
Test 13 (Standard)	Time: 4.255s | 4255.0ms
Test 13 (Parallel)	Time: 2.29s | 2290.0ms
Test 14 (Standard)	Time: 5.977s | 5977.0ms
Test 14 (Parallel)	Time: 2.66s | 2660.0ms
Test 15 (Standard)	Time: 4.517s | 4517.0ms
Test 15 (Parallel)	Time: 2.204s | 2204.0ms
Test 16 (Standard)	Time: 6.113s | 6113.0ms
Test 16 (Parallel)	Time: 2.648s | 2648.0ms
Test 17 (Standard)	Time: 4.754s | 4754.0ms
Test 17 (Parallel)	Time: 1.627s | 1627.0ms
Test 18 (Standard)	Time: 4.673s | 4673.0ms
Test 18 (Parallel)	Time: 1.583s | 1583.0ms
Test 19 (Standard)	Time: 4.574s | 4574.0ms
Test 19 (Parallel)	Time: 2.736s | 2736.0ms
Test 20 (Standard)	Time: 6.254s | 6254.0ms
Test 20 (Parallel)	Time: 2.823s | 2823.0ms
Test 21 (Standard)	Time: 5.908s | 5908.0ms
Test 21 (Parallel)	Time: 2.849s | 2849.0ms
Test 22 (Standard)	Time: 6.369s | 6369.0ms
Test 22 (Parallel)	Time: 2.815s | 2815.0ms
Test 23 (Standard)	Time: 6.386s | 6386.0ms
Test 23 (Parallel)	Time: 2.959s | 2959.0ms
Test 24 (Standard)	Time: 6.15s | 6150.0ms
Test 24 (Parallel)	Time: 3.001s | 3001.0ms
Test 25 (Standard)	Time: 6.549s | 6549.0ms
Test 25 (Parallel)	Time: 2.9s | 2900.0ms
Test 26 (Standard)	Time: 6.634s | 6634.0ms
Test 26 (Parallel)	Time: 3.042s | 3042.0ms
Test 27 (Standard)	Time: 6.522s | 6522.0ms
Test 27 (Parallel)	Time: 2.981s | 2981.0ms
Test 28 (Standard)	Time: 6.361s | 6361.0ms
Test 28 (Parallel)	Time: 2.964s | 2964.0ms
Test 29 (Standard)	Time: 6.149s | 6149.0ms
Test 29 (Parallel)	Time: 3.011s | 3011.0ms
Test 30 (Standard)	Time: 6.221s | 6221.0ms
Test 30 (Parallel)	Time: 2.881s | 2881.0ms
Test 31 (Standard)	Time: 6.206s | 6206.0ms
Test 31 (Parallel)	Time: 2.797s | 2797.0ms
Test 32 (Standard)	Time: 6.537s | 6537.0ms
Test 32 (Parallel)	Time: 2.703s | 2703.0ms
Test 33 (Standard)	Time: 6.458s | 6458.0ms
Test 33 (Parallel)	Time: 3.127s | 3127.0ms
Test 34 (Standard)	Time: 6.688s | 6688.0ms
Test 34 (Parallel)	Time: 2.919s | 2919.0ms
Test 35 (Standard)	Time: 6.637s | 6637.0ms
Test 35 (Parallel)	Time: 2.958s | 2958.0ms
Test 36 (Standard)	Time: 6.311s | 6311.0ms
Test 36 (Parallel)	Time: 2.92s | 2920.0ms
Test 37 (Standard)	Time: 5.924s | 5924.0ms
Test 37 (Parallel)	Time: 2.75s | 2750.0ms
Test 38 (Standard)	Time: 6.421s | 6421.0ms
Test 38 (Parallel)	Time: 2.738s | 2738.0ms
Test 39 (Standard)	Time: 6.455s | 6455.0ms
Test 39 (Parallel)	Time: 2.757s | 2757.0ms
Test 40 (Standard)	Time: 6.117s | 6117.0ms
Test 40 (Parallel)	Time: 3.176s | 3176.0ms
Test 41 (Standard)	Time: 7.021s | 7021.0ms
Test 41 (Parallel)	Time: 3.367s | 3367.0ms
Test 42 (Standard)	Time: 5.431s | 5431.0ms
Test 42 (Parallel)	Time: 2.103s | 2103.0ms
Test 43 (Standard)	Time: 4.603s | 4603.0ms
Test 43 (Parallel)	Time: 2.996s | 2996.0ms
Test 44 (Standard)	Time: 5.1s | 5100.0ms
Test 44 (Parallel)	Time: 1.934s | 1934.0ms
Test 45 (Standard)	Time: 4.411s | 4411.0ms
Test 45 (Parallel)	Time: 2.73s | 2730.0ms
Test 46 (Standard)	Time: 4.862s | 4862.0ms
Test 46 (Parallel)	Time: 1.692s | 1692.0ms
Test 47 (Standard)	Time: 4.352s | 4352.0ms
Test 47 (Parallel)	Time: 2.751s | 2751.0ms
Test 48 (Standard)	Time: 4.877s | 4877.0ms
Test 48 (Parallel)	Time: 1.671s | 1671.0ms
Test 49 (Standard)	Time: 4.168s | 4168.0ms
Test 49 (Parallel)	Time: 2.56s | 2560.0ms
Test 50 (Standard)	Time: 5.068s | 5068.0ms
Test 50 (Parallel)	Time: 1.941s | 1941.0ms
Test 51 (Standard)	Time: 4.452s | 4452.0ms
Test 51 (Parallel)	Time: 2.441s | 2441.0ms
Test 52 (Standard)	Time: 4.707s | 4707.0ms
Test 52 (Parallel)	Time: 1.621s | 1621.0ms
Test 53 (Standard)	Time: 4.205s | 4205.0ms
Test 53 (Parallel)	Time: 2.552s | 2552.0ms
Test 54 (Standard)	Time: 4.726s | 4726.0ms
Test 54 (Parallel)	Time: 1.642s | 1642.0ms
Test 55 (Standard)	Time: 4.186s | 4186.0ms
Test 55 (Parallel)	Time: 2.588s | 2588.0ms
Test 56 (Standard)	Time: 4.772s | 4772.0ms
Test 56 (Parallel)	Time: 1.722s | 1722.0ms
Test 57 (Standard)	Time: 4.261s | 4261.0ms
Test 57 (Parallel)	Time: 2.371s | 2371.0ms
Test 58 (Standard)	Time: 4.587s | 4587.0ms
Test 58 (Parallel)	Time: 1.651s | 1651.0ms
Test 59 (Standard)	Time: 4.087s | 4087.0ms
Test 59 (Parallel)	Time: 2.444s | 2444.0ms
Test 60 (Standard)	Time: 4.845s | 4845.0ms
Test 60 (Parallel)	Time: 1.791s | 1791.0ms
Test 61 (Standard)	Time: 4.219s | 4219.0ms
Test 61 (Parallel)	Time: 2.42s | 2420.0ms
Test 62 (Standard)	Time: 4.867s | 4867.0ms
Test 62 (Parallel)	Time: 1.818s | 1818.0ms
Test 63 (Standard)	Time: 4.266s | 4266.0ms
Test 63 (Parallel)	Time: 2.415s | 2415.0ms
Test 64 (Standard)	Time: 6.263s | 6263.0ms
Test 64 (Parallel)	Time: 2.902s | 2902.0ms
Test 65 (Standard)	Time: 4.924s | 4924.0ms
Test 65 (Parallel)	Time: 1.601s | 1601.0ms
Test 66 (Standard)	Time: 4.25s | 4250.0ms
Test 66 (Parallel)	Time: 2.612s | 2612.0ms
Test 67 (Standard)	Time: 4.715s | 4715.0ms
Test 67 (Parallel)	Time: 1.73s | 1730.0ms
Test 68 (Standard)	Time: 4.147s | 4147.0ms
Test 68 (Parallel)	Time: 2.443s | 2443.0ms
Test 69 (Standard)	Time: 4.749s | 4749.0ms
Test 69 (Parallel)	Time: 1.847s | 1847.0ms
Test 70 (Standard)	Time: 4.248s | 4248.0ms
Test 70 (Parallel)	Time: 3.569s | 3569.0ms
Test 71 (Standard)	Time: 5.6s | 5600.0ms
Test 71 (Parallel)	Time: 1.726s | 1726.0ms
Test 72 (Standard)	Time: 4.291s | 4291.0ms
Test 72 (Parallel)	Time: 2.477s | 2477.0ms
Test 73 (Standard)	Time: 4.716s | 4716.0ms
Test 73 (Parallel)	Time: 2.33s | 2330.0ms
Test 74 (Standard)	Time: 5.737s | 5737.0ms
Test 74 (Parallel)	Time: 2.254s | 2254.0ms
Test 75 (Standard)	Time: 6.265s | 6265.0ms
Test 75 (Parallel)	Time: 2.786s | 2786.0ms
Test 76 (Standard)	Time: 5.017s | 5017.0ms
Test 76 (Parallel)	Time: 2.411s | 2411.0ms
Test 77 (Standard)	Time: 6.262s | 6262.0ms
Test 77 (Parallel)	Time: 3.094s | 3094.0ms
Test 78 (Standard)	Time: 5.029s | 5029.0ms
Test 78 (Parallel)	Time: 2.221s | 2221.0ms
Test 79 (Standard)	Time: 5.697s | 5697.0ms
Test 79 (Parallel)	Time: 2.153s | 2153.0ms
Test 80 (Standard)	Time: 5.807s | 5807.0ms
Test 80 (Parallel)	Time: 2.206s | 2206.0ms
Test 81 (Standard)	Time: 6.339s | 6339.0ms
Test 81 (Parallel)	Time: 2.716s | 2716.0ms
Test 82 (Standard)	Time: 5.04s | 5040.0ms
Test 82 (Parallel)	Time: 2.24s | 2240.0ms
Test 83 (Standard)	Time: 4.647s | 4647.0ms
Test 83 (Parallel)	Time: 2.277s | 2277.0ms
Test 84 (Standard)	Time: 6.164s | 6164.0ms
Test 84 (Parallel)	Time: 2.803s | 2803.0ms
Test 85 (Standard)	Time: 5.011s | 5011.0ms
Test 85 (Parallel)	Time: 2.273s | 2273.0ms
Test 86 (Standard)	Time: 6.227s | 6227.0ms
Test 86 (Parallel)	Time: 2.676s | 2676.0ms
Test 87 (Standard)	Time: 5.029s | 5029.0ms
Test 87 (Parallel)	Time: 1.71s | 1710.0ms
Test 88 (Standard)	Time: 4.683s | 4683.0ms
Test 88 (Parallel)	Time: 2.38s | 2380.0ms
Test 89 (Standard)	Time: 6.218s | 6218.0ms
Test 89 (Parallel)	Time: 2.736s | 2736.0ms
Test 90 (Standard)	Time: 5.079s | 5079.0ms
Test 90 (Parallel)	Time: 2.179s | 2179.0ms
Test 91 (Standard)	Time: 6.238s | 6238.0ms
Test 91 (Parallel)	Time: 2.883s | 2883.0ms
