LIST SIZE: 10000000 | NUMBER OF TESTS: 100
NUMBER OF THREADS: 8
Test 1 (Standard)	Time: 3.757s | 3757.0ms
Test 1 (Parallel)	Time: 2.417s | 2417.0ms
Test 2 (Standard)	Time: 5.914s | 5914.0ms
Test 2 (Parallel)	Time: 2.281s | 2281.0ms
Test 3 (Standard)	Time: 5.773s | 5773.0ms
Test 3 (Parallel)	Time: 2.344s | 2344.0ms
Test 4 (Standard)	Time: 5.631s | 5631.0ms
Test 4 (Parallel)	Time: 2.12s | 2120.0ms
Test 5 (Standard)	Time: 5.733s | 5733.0ms
Test 5 (Parallel)	Time: 2.252s | 2252.0ms
Test 6 (Standard)	Time: 5.988s | 5988.0ms
Test 6 (Parallel)	Time: 2.52s | 2520.0ms
Test 7 (Standard)	Time: 6.004s | 6004.0ms
Test 7 (Parallel)	Time: 2.451s | 2451.0ms
Test 8 (Standard)	Time: 5.954s | 5954.0ms
Test 8 (Parallel)	Time: 2.505s | 2505.0ms
Test 9 (Standard)	Time: 6.001s | 6001.0ms
Test 9 (Parallel)	Time: 2.529s | 2529.0ms
Test 10 (Standard)	Time: 6.243s | 6243.0ms
Test 10 (Parallel)	Time: 2.488s | 2488.0ms
Test 11 (Standard)	Time: 5.893s | 5893.0ms
Test 11 (Parallel)	Time: 2.464s | 2464.0ms
Test 12 (Standard)	Time: 5.946s | 5946.0ms
Test 12 (Parallel)	Time: 2.244s | 2244.0ms
Test 13 (Standard)	Time: 6.274s | 6274.0ms
Test 13 (Parallel)	Time: 2.5s | 2500.0ms
Test 14 (Standard)	Time: 5.961s | 5961.0ms
Test 14 (Parallel)	Time: 2.356s | 2356.0ms
Test 15 (Standard)	Time: 6.319s | 6319.0ms
Test 15 (Parallel)	Time: 2.408s | 2408.0ms
Test 16 (Standard)	Time: 5.964s | 5964.0ms
Test 16 (Parallel)	Time: 2.469s | 2469.0ms
Test 17 (Standard)	Time: 6.069s | 6069.0ms
Test 17 (Parallel)	Time: 2.48s | 2480.0ms
Test 18 (Standard)	Time: 6.024s | 6024.0ms
Test 18 (Parallel)	Time: 2.408s | 2408.0ms
Test 19 (Standard)	Time: 6.119s | 6119.0ms
Test 19 (Parallel)	Time: 2.5s | 2500.0ms
Test 20 (Standard)	Time: 6.131s | 6131.0ms
Test 20 (Parallel)	Time: 2.573s | 2573.0ms
Test 21 (Standard)	Time: 6.257s | 6257.0ms
Test 21 (Parallel)	Time: 2.469s | 2469.0ms
Test 22 (Standard)	Time: 6.067s | 6067.0ms
Test 22 (Parallel)	Time: 2.383s | 2383.0ms
Test 23 (Standard)	Time: 6.365s | 6365.0ms
Test 23 (Parallel)	Time: 2.529s | 2529.0ms
Test 24 (Standard)	Time: 6.06s | 6060.0ms
Test 24 (Parallel)	Time: 2.501s | 2501.0ms
Test 25 (Standard)	Time: 6.076s | 6076.0ms
Test 25 (Parallel)	Time: 2.533s | 2533.0ms
Test 26 (Standard)	Time: 6.069s | 6069.0ms
Test 26 (Parallel)	Time: 2.349s | 2349.0ms
Test 27 (Standard)	Time: 6.417s | 6417.0ms
Test 27 (Parallel)	Time: 2.468s | 2468.0ms
Test 28 (Standard)	Time: 6.07s | 6070.0ms
Test 28 (Parallel)	Time: 2.624s | 2624.0ms
Test 29 (Standard)	Time: 6.105s | 6105.0ms
Test 29 (Parallel)	Time: 2.519s | 2519.0ms
Test 30 (Standard)	Time: 6.09s | 6090.0ms
Test 30 (Parallel)	Time: 2.493s | 2493.0ms
Test 31 (Standard)	Time: 6.115s | 6115.0ms
Test 31 (Parallel)	Time: 2.53s | 2530.0ms
Test 32 (Standard)	Time: 6.094s | 6094.0ms
Test 32 (Parallel)	Time: 2.522s | 2522.0ms
Test 33 (Standard)	Time: 6.103s | 6103.0ms
Test 33 (Parallel)	Time: 2.295s | 2295.0ms
Test 34 (Standard)	Time: 6.458s | 6458.0ms
Test 34 (Parallel)	Time: 2.605s | 2605.0ms
Test 35 (Standard)	Time: 6.256s | 6256.0ms
Test 35 (Parallel)	Time: 2.276s | 2276.0ms
Test 36 (Standard)	Time: 6.43s | 6430.0ms
Test 36 (Parallel)	Time: 2.426s | 2426.0ms
Test 37 (Standard)	Time: 6.489s | 6489.0ms
Test 37 (Parallel)	Time: 2.374s | 2374.0ms
Test 38 (Standard)	Time: 6.403s | 6403.0ms
Test 38 (Parallel)	Time: 2.604s | 2604.0ms
Test 39 (Standard)	Time: 6.212s | 6212.0ms
Test 39 (Parallel)	Time: 2.517s | 2517.0ms
Test 40 (Standard)	Time: 6.225s | 6225.0ms
Test 40 (Parallel)	Time: 2.36s | 2360.0ms
Test 41 (Standard)	Time: 6.491s | 6491.0ms
Test 41 (Parallel)	Time: 2.519s | 2519.0ms
Test 42 (Standard)	Time: 6.096s | 6096.0ms
Test 42 (Parallel)	Time: 2.497s | 2497.0ms
Test 43 (Standard)	Time: 6.235s | 6235.0ms
Test 43 (Parallel)	Time: 2.316s | 2316.0ms
Test 44 (Standard)	Time: 6.509s | 6509.0ms
Test 44 (Parallel)	Time: 2.509s | 2509.0ms
Test 45 (Standard)	Time: 6.083s | 6083.0ms
Test 45 (Parallel)	Time: 2.441s | 2441.0ms
Test 46 (Standard)	Time: 6.583s | 6583.0ms
Test 46 (Parallel)	Time: 2.531s | 2531.0ms
Test 47 (Standard)	Time: 6.253s | 6253.0ms
