LIST SIZE: 10000000 | NUMBER OF TESTS: 100
NUMBER OF THREADS: 16
Test 1 (Standard)	Time: 3.767s | 3767.0ms
Test 1 (Parallel)	Time: 2.572s | 2572.0ms
Test 2 (Standard)	Time: 6.089s | 6089.0ms
Test 2 (Parallel)	Time: 2.713s | 2713.0ms
Test 3 (Standard)	Time: 6.397s | 6397.0ms
Test 3 (Parallel)	Time: 2.321s | 2321.0ms
Test 4 (Standard)	Time: 6.284s | 6284.0ms
Test 4 (Parallel)	Time: 2.538s | 2538.0ms
Test 5 (Standard)	Time: 5.775s | 5775.0ms
Test 5 (Parallel)	Time: 2.19s | 2190.0ms
Test 6 (Standard)	Time: 6.077s | 6077.0ms
Test 6 (Parallel)	Time: 2.348s | 2348.0ms
Test 7 (Standard)	Time: 6.166s | 6166.0ms
Test 7 (Parallel)	Time: 2.473s | 2473.0ms
Test 8 (Standard)	Time: 6.1s | 6100.0ms
Test 8 (Parallel)	Time: 2.321s | 2321.0ms
Test 9 (Standard)	Time: 6.47s | 6470.0ms
Test 9 (Parallel)	Time: 2.309s | 2309.0ms
Test 10 (Standard)	Time: 6.441s | 6441.0ms
Test 10 (Parallel)	Time: 2.88s | 2880.0ms
Test 11 (Standard)	Time: 6.277s | 6277.0ms
Test 11 (Parallel)	Time: 2.38s | 2380.0ms
Test 12 (Standard)	Time: 7.093s | 7093.0ms
Test 12 (Parallel)	Time: 2.462s | 2462.0ms
Test 13 (Standard)	Time: 6.184s | 6184.0ms
Test 13 (Parallel)	Time: 2.308s | 2308.0ms
Test 14 (Standard)	Time: 6.325s | 6325.0ms
Test 14 (Parallel)	Time: 2.328s | 2328.0ms
Test 15 (Standard)	Time: 6.143s | 6143.0ms
Test 15 (Parallel)	Time: 2.461s | 2461.0ms
Test 16 (Standard)	Time: 5.688s | 5688.0ms
Test 16 (Parallel)	Time: 2.248s | 2248.0ms
Test 17 (Standard)	Time: 6.333s | 6333.0ms
Test 17 (Parallel)	Time: 2.401s | 2401.0ms
Test 18 (Standard)	Time: 6.378s | 6378.0ms
Test 18 (Parallel)	Time: 2.758s | 2758.0ms
Test 19 (Standard)	Time: 6.468s | 6468.0ms
Test 19 (Parallel)	Time: 2.546s | 2546.0ms
Test 20 (Standard)	Time: 6.265s | 6265.0ms
Test 20 (Parallel)	Time: 2.311s | 2311.0ms
Test 21 (Standard)	Time: 6.25s | 6250.0ms
Test 21 (Parallel)	Time: 2.32s | 2320.0ms
Test 22 (Standard)	Time: 6.261s | 6261.0ms
Test 22 (Parallel)	Time: 2.442s | 2442.0ms
Test 23 (Standard)	Time: 5.998s | 5998.0ms
Test 23 (Parallel)	Time: 2.344s | 2344.0ms
Test 24 (Standard)	Time: 6.308s | 6308.0ms
Test 24 (Parallel)	Time: 2.306s | 2306.0ms
Test 25 (Standard)	Time: 6.308s | 6308.0ms
Test 25 (Parallel)	Time: 2.354s | 2354.0ms
Test 26 (Standard)	Time: 6.246s | 6246.0ms
Test 26 (Parallel)	Time: 2.43s | 2430.0ms
Test 27 (Standard)	Time: 6.013s | 6013.0ms
Test 27 (Parallel)	Time: 2.658s | 2658.0ms
Test 28 (Standard)	Time: 6.32s | 6320.0ms
Test 28 (Parallel)	Time: 2.301s | 2301.0ms
Test 29 (Standard)	Time: 6.372s | 6372.0ms
Test 29 (Parallel)	Time: 2.314s | 2314.0ms
Test 30 (Standard)	Time: 6.278s | 6278.0ms
Test 30 (Parallel)	Time: 2.308s | 2308.0ms
Test 31 (Standard)	Time: 6.292s | 6292.0ms
Test 31 (Parallel)	Time: 2.453s | 2453.0ms
Test 32 (Standard)	Time: 5.962s | 5962.0ms
Test 32 (Parallel)	Time: 2.494s | 2494.0ms
Test 33 (Standard)	Time: 5.993s | 5993.0ms
Test 33 (Parallel)	Time: 2.389s | 2389.0ms
Test 34 (Standard)	Time: 6.337s | 6337.0ms
Test 34 (Parallel)	Time: 2.324s | 2324.0ms
Test 35 (Standard)	Time: 5.599s | 5599.0ms
Test 35 (Parallel)	Time: 2.151s | 2151.0ms
Test 36 (Standard)	Time: 5.978s | 5978.0ms
Test 36 (Parallel)	Time: 2.432s | 2432.0ms
Test 37 (Standard)	Time: 6.022s | 6022.0ms
Test 37 (Parallel)	Time: 2.275s | 2275.0ms
Test 38 (Standard)	Time: 6.355s | 6355.0ms
Test 38 (Parallel)	Time: 2.287s | 2287.0ms
Test 39 (Standard)	Time: 6.383s | 6383.0ms
Test 39 (Parallel)	Time: 2.297s | 2297.0ms
Test 40 (Standard)	Time: 5.893s | 5893.0ms
Test 40 (Parallel)	Time: 2.231s | 2231.0ms
Test 41 (Standard)	Time: 6.248s | 6248.0ms
Test 41 (Parallel)	Time: 2.469s | 2469.0ms
Test 42 (Standard)	Time: 6.31s | 6310.0ms
Test 42 (Parallel)	Time: 2.324s | 2324.0ms
Test 43 (Standard)	Time: 6.411s | 6411.0ms
Test 43 (Parallel)	Time: 2.325s | 2325.0ms
Test 44 (Standard)	Time: 5.688s | 5688.0ms
Test 44 (Parallel)	Time: 2.286s | 2286.0ms
Test 45 (Standard)	Time: 5.955s | 5955.0ms
Test 45 (Parallel)	Time: 2.353s | 2353.0ms
Test 46 (Standard)	Time: 6.375s | 6375.0ms
Test 46 (Parallel)	Time: 2.382s | 2382.0ms
Test 47 (Standard)	Time: 6.351s | 6351.0ms
Test 47 (Parallel)	Time: 2.636s | 2636.0ms
Test 48 (Standard)	Time: 6.138s | 6138.0ms
Test 48 (Parallel)	Time: 2.421s | 2421.0ms
Test 49 (Standard)	Time: 6.417s | 6417.0ms
Test 49 (Parallel)	Time: 2.431s | 2431.0ms
Test 50 (Standard)	Time: 5.7s | 5700.0ms
Test 50 (Parallel)	Time: 2.129s | 2129.0ms
Test 51 (Standard)	Time: 6.338s | 6338.0ms
Test 51 (Parallel)	Time: 2.373s | 2373.0ms
Test 52 (Standard)	Time: 6.374s | 6374.0ms
Test 52 (Parallel)	Time: 2.328s | 2328.0ms
Test 53 (Standard)	Time: 6.378s | 6378.0ms
Test 53 (Parallel)	Time: 2.311s | 2311.0ms
Test 54 (Standard)	Time: 5.652s | 5652.0ms
Test 54 (Parallel)	Time: 2.322s | 2322.0ms
Test 55 (Standard)	Time: 6.002s | 6002.0ms
Test 55 (Parallel)	Time: 2.37s | 2370.0ms
Test 56 (Standard)	Time: 6.398s | 6398.0ms
Test 56 (Parallel)	Time: 2.363s | 2363.0ms
Test 57 (Standard)	Time: 6.438s | 6438.0ms
Test 57 (Parallel)	Time: 2.364s | 2364.0ms
Test 58 (Standard)	Time: 6.406s | 6406.0ms
Test 58 (Parallel)	Time: 2.385s | 2385.0ms
Test 59 (Standard)	Time: 6.423s | 6423.0ms
Test 59 (Parallel)	Time: 2.367s | 2367.0ms
Test 60 (Standard)	Time: 6.388s | 6388.0ms
Test 60 (Parallel)	Time: 2.342s | 2342.0ms
Test 61 (Standard)	Time: 6.413s | 6413.0ms
Test 61 (Parallel)	Time: 2.37s | 2370.0ms
Test 62 (Standard)	Time: 6.476s | 6476.0ms
Test 62 (Parallel)	Time: 2.369s | 2369.0ms
Test 63 (Standard)	Time: 6.478s | 6478.0ms
Test 63 (Parallel)	Time: 2.485s | 2485.0ms
Test 64 (Standard)	Time: 6.477s | 6477.0ms
Test 64 (Parallel)	Time: 2.547s | 2547.0ms
Test 65 (Standard)	Time: 6.392s | 6392.0ms
Test 65 (Parallel)	Time: 2.588s | 2588.0ms
Test 66 (Standard)	Time: 6.662s | 6662.0ms
Test 66 (Parallel)	Time: 2.574s | 2574.0ms
Test 67 (Standard)	Time: 6.26s | 6260.0ms
Test 67 (Parallel)	Time: 2.257s | 2257.0ms
Test 68 (Standard)	Time: 6.502s | 6502.0ms
Test 68 (Parallel)	Time: 2.31s | 2310.0ms
Test 69 (Standard)	Time: 6.108s | 6108.0ms
Test 69 (Parallel)	Time: 2.429s | 2429.0ms
Test 70 (Standard)	Time: 6.477s | 6477.0ms
Test 70 (Parallel)	Time: 2.398s | 2398.0ms
Test 71 (Standard)	Time: 5.692s | 5692.0ms
Test 71 (Parallel)	Time: 2.328s | 2328.0ms
Test 72 (Standard)	Time: 6.552s | 6552.0ms
Test 72 (Parallel)	Time: 2.326s | 2326.0ms
Test 73 (Standard)	Time: 6.448s | 6448.0ms
Test 73 (Parallel)	Time: 2.324s | 2324.0ms
Test 74 (Standard)	Time: 6.603s | 6603.0ms
Test 74 (Parallel)	Time: 2.442s | 2442.0ms
Test 75 (Standard)	Time: 6.303s | 6303.0ms
Test 75 (Parallel)	Time: 2.47s | 2470.0ms
Test 76 (Standard)	Time: 6.552s | 6552.0ms
Test 76 (Parallel)	Time: 2.533s | 2533.0ms
Test 77 (Standard)	Time: 6.692s | 6692.0ms
Test 77 (Parallel)	Time: 2.403s | 2403.0ms
Test 78 (Standard)	Time: 6.789s | 6789.0ms
Test 78 (Parallel)	Time: 2.643s | 2643.0ms
Test 79 (Standard)	Time: 6.383s | 6383.0ms
Test 79 (Parallel)	Time: 2.596s | 2596.0ms
