LIST SIZE: 10000000 | NUMBER OF TESTS: 100
NUMBER OF THREADS: 4
Test 56 (Standard)	Time: 6.197s | 6197.0ms
Test 56 (Parallel)	Time: 3.084s | 3084.0ms
Test 57 (Standard)	Time: 6.255s | 6255.0ms
Test 57 (Parallel)	Time: 3.123s | 3123.0ms
Test 58 (Standard)	Time: 6.568s | 6568.0ms
Test 58 (Parallel)	Time: 2.742s | 2742.0ms
Test 59 (Standard)	Time: 6.495s | 6495.0ms
Test 59 (Parallel)	Time: 2.78s | 2780.0ms
Test 60 (Standard)	Time: 6.561s | 6561.0ms
Test 60 (Parallel)	Time: 2.801s | 2801.0ms
Test 61 (Standard)	Time: 6.499s | 6499.0ms
Test 61 (Parallel)	Time: 2.733s | 2733.0ms
Test 62 (Standard)	Time: 6.46s | 6460.0ms
Test 62 (Parallel)	Time: 2.775s | 2775.0ms
Test 63 (Standard)	Time: 6.487s | 6487.0ms
Test 63 (Parallel)	Time: 3.03s | 3030.0ms
Test 64 (Standard)	Time: 6.203s | 6203.0ms
Test 64 (Parallel)	Time: 2.995s | 2995.0ms
Test 65 (Standard)	Time: 6.28s | 6280.0ms
Test 65 (Parallel)	Time: 2.787s | 2787.0ms
Test 66 (Standard)	Time: 6.426s | 6426.0ms
Test 66 (Parallel)	Time: 2.743s | 2743.0ms
Test 67 (Standard)	Time: 6.496s | 6496.0ms
Test 67 (Parallel)	Time: 2.746s | 2746.0ms
Test 68 (Standard)	Time: 6.548s | 6548.0ms
Test 68 (Parallel)	Time: 3.19s | 3190.0ms
Test 69 (Standard)	Time: 6.581s | 6581.0ms
Test 69 (Parallel)	Time: 2.75s | 2750.0ms
Test 70 (Standard)	Time: 6.529s | 6529.0ms
Test 70 (Parallel)	Time: 2.806s | 2806.0ms
Test 71 (Standard)	Time: 6.496s | 6496.0ms
Test 71 (Parallel)	Time: 2.82s | 2820.0ms
Test 72 (Standard)	Time: 6.547s | 6547.0ms
Test 72 (Parallel)	Time: 2.996s | 2996.0ms
Test 73 (Standard)	Time: 6.203s | 6203.0ms
Test 73 (Parallel)	Time: 2.788s | 2788.0ms
Test 74 (Standard)	Time: 6.493s | 6493.0ms
Test 74 (Parallel)	Time: 2.816s | 2816.0ms
Test 75 (Standard)	Time: 6.462s | 6462.0ms
Test 75 (Parallel)	Time: 2.817s | 2817.0ms
Test 76 (Standard)	Time: 6.483s | 6483.0ms
Test 76 (Parallel)	Time: 3.017s | 3017.0ms
Test 77 (Standard)	Time: 6.231s | 6231.0ms
Test 77 (Parallel)	Time: 2.816s | 2816.0ms
Test 78 (Standard)	Time: 6.58s | 6580.0ms
Test 78 (Parallel)	Time: 2.812s | 2812.0ms
Test 79 (Standard)	Time: 6.525s | 6525.0ms
Test 79 (Parallel)	Time: 3.006s | 3006.0ms
Test 80 (Standard)	Time: 6.115s | 6115.0ms
Test 80 (Parallel)	Time: 2.728s | 2728.0ms
Test 81 (Standard)	Time: 6.479s | 6479.0ms
Test 81 (Parallel)	Time: 2.991s | 2991.0ms
Test 82 (Standard)	Time: 6.251s | 6251.0ms
Test 82 (Parallel)	Time: 3.089s | 3089.0ms
Test 83 (Standard)	Time: 6.527s | 6527.0ms
Test 83 (Parallel)	Time: 3.083s | 3083.0ms
Test 84 (Standard)	Time: 6.269s | 6269.0ms
Test 84 (Parallel)	Time: 3.013s | 3013.0ms
Test 85 (Standard)	Time: 6.293s | 6293.0ms
Test 85 (Parallel)	Time: 3.083s | 3083.0ms
Test 86 (Standard)	Time: 6.28s | 6280.0ms
Test 86 (Parallel)	Time: 2.912s | 2912.0ms
Test 87 (Standard)	Time: 6.446s | 6446.0ms
Test 87 (Parallel)	Time: 2.732s | 2732.0ms
