ARRAY SIZE: 10000000 | NUMBER OF TESTS: 20
Test (ArrayList) 19 (1 Thread)	Time: 3175004.0microsec | Memory: 1031800KB
Test (ArrayList) 19 (4 Thread)	Time: 1163668.0microsec | Memory: 1999922KB
Test (ArrayList) 19 (8 Thread)	Time: 1171023.0microsec | Memory: 537939KB
Test (ArrayList) 19 (16 Thread)	Time: 1106434.0microsec | Memory: 536906KB
Test (ArrayList) 20 (1 Thread)	Time: 3095834.0microsec | Memory: 1031788KB
Test (ArrayList) 20 (4 Thread)	Time: 1079399.0microsec | Memory: 2008178KB
Test (ArrayList) 20 (8 Thread)	Time: 1192796.0microsec | Memory: 536888KB
Test (ArrayList) 20 (16 Thread)	Time: 1140593.0microsec | Memory: 536903KB
Average Single Thread Time (ArrayList): 3107910.0microsec | Average Memory: 1067847.0KB
Average Four Thread Time (ArrayList): 1129256.0microsec | Average Memory: 1934194.0KB
Average Eight Thread Time (ArrayList): 1128853.0microsec | Average Memory: 537152.0KB
Average Sixteen Thread Time (ArrayList): 1121198.0microsec | Average Memory: 537167.0KB
