LIST SIZE: 10000000 | NUMBER OF TESTS: 100
NUMBER OF THREADS: 16
Test 1 (Standard)	Time: 4.498s | 4498.0ms
Test 1 (Parallel)	Time: 2.721s | 2721.0ms
Test 2 (Standard)	Time: 6.487s | 6487.0ms
Test 2 (Parallel)	Time: 2.717s | 2717.0ms
Test 3 (Standard)	Time: 6.244s | 6244.0ms
Test 3 (Parallel)	Time: 2.475s | 2475.0ms
Test 4 (Standard)	Time: 5.824s | 5824.0ms
Test 4 (Parallel)	Time: 2.652s | 2652.0ms
Test 5 (Standard)	Time: 6.238s | 6238.0ms
Test 5 (Parallel)	Time: 2.41s | 2410.0ms
Test 6 (Standard)	Time: 5.881s | 5881.0ms
Test 6 (Parallel)	Time: 2.653s | 2653.0ms
Test 7 (Standard)	Time: 5.805s | 5805.0ms
Test 7 (Parallel)	Time: 2.726s | 2726.0ms
Test 8 (Standard)	Time: 5.755s | 5755.0ms
Test 8 (Parallel)	Time: 2.516s | 2516.0ms
Test 9 (Standard)	Time: 6.878s | 6878.0ms
Test 9 (Parallel)	Time: 2.78s | 2780.0ms
Test 10 (Standard)	Time: 7.2s | 7200.0ms
Test 10 (Parallel)	Time: 2.999s | 2999.0ms
Test 11 (Standard)	Time: 7.591s | 7591.0ms
Test 11 (Parallel)	Time: 2.85s | 2850.0ms
Test 12 (Standard)	Time: 7.297s | 7297.0ms
Test 12 (Parallel)	Time: 2.903s | 2903.0ms
Test 13 (Standard)	Time: 7.72s | 7720.0ms
Test 13 (Parallel)	Time: 2.956s | 2956.0ms
Test 14 (Standard)	Time: 7.33s | 7330.0ms
Test 14 (Parallel)	Time: 2.873s | 2873.0ms
Test 15 (Standard)	Time: 7.402s | 7402.0ms
Test 15 (Parallel)	Time: 2.864s | 2864.0ms
Test 16 (Standard)	Time: 7.348s | 7348.0ms
Test 16 (Parallel)	Time: 2.966s | 2966.0ms
Test 17 (Standard)	Time: 7.389s | 7389.0ms
Test 17 (Parallel)	Time: 3.025s | 3025.0ms
Test 18 (Standard)	Time: 7.366s | 7366.0ms
Test 18 (Parallel)	Time: 2.935s | 2935.0ms
Test 19 (Standard)	Time: 7.359s | 7359.0ms
Test 19 (Parallel)	Time: 2.896s | 2896.0ms
Test 20 (Standard)	Time: 7.363s | 7363.0ms
Test 20 (Parallel)	Time: 2.903s | 2903.0ms
Test 21 (Standard)	Time: 7.333s | 7333.0ms
Test 21 (Parallel)	Time: 2.935s | 2935.0ms
Test 22 (Standard)	Time: 7.311s | 7311.0ms
Test 22 (Parallel)	Time: 2.991s | 2991.0ms
Test 23 (Standard)	Time: 7.378s | 7378.0ms
Test 23 (Parallel)	Time: 2.894s | 2894.0ms
Test 24 (Standard)	Time: 7.334s | 7334.0ms
