LIST SIZE: 10000000 | NUMBER OF TESTS: 100
NUMBER OF THREADS: 4
Test 1 (Standard)	Time: 4.763s | 4763.0ms
Test 1 (Parallel)	Time: 3.448s | 3448.0ms
Test 2 (Standard)	Time: 6.595s | 6595.0ms
Test 2 (Parallel)	Time: 3.474s | 3474.0ms
Test 3 (Standard)	Time: 6.514s | 6514.0ms
Test 3 (Parallel)	Time: 3.406s | 3406.0ms
Test 4 (Standard)	Time: 5.999s | 5999.0ms
Test 4 (Parallel)	Time: 3.278s | 3278.0ms
Test 5 (Standard)	Time: 5.989s | 5989.0ms
Test 5 (Parallel)	Time: 3.196s | 3196.0ms
Test 6 (Standard)	Time: 6.019s | 6019.0ms
Test 6 (Parallel)	Time: 3.115s | 3115.0ms
Test 7 (Standard)	Time: 6.056s | 6056.0ms
Test 7 (Parallel)	Time: 3.686s | 3686.0ms
Test 8 (Standard)	Time: 6.768s | 6768.0ms
Test 8 (Parallel)	Time: 3.662s | 3662.0ms
Test 9 (Standard)	Time: 6.41s | 6410.0ms
Test 9 (Parallel)	Time: 3.812s | 3812.0ms
Test 10 (Standard)	Time: 8.871s | 8871.0ms
Test 10 (Parallel)	Time: 3.804s | 3804.0ms
Test 11 (Standard)	Time: 8.445s | 8445.0ms
Test 11 (Parallel)	Time: 3.801s | 3801.0ms
Test 12 (Standard)	Time: 8.857s | 8857.0ms
Test 12 (Parallel)	Time: 3.188s | 3188.0ms
Test 13 (Standard)	Time: 7.348s | 7348.0ms
Test 13 (Parallel)	Time: 3.219s | 3219.0ms
Test 14 (Standard)	Time: 7.348s | 7348.0ms
Test 14 (Parallel)	Time: 3.279s | 3279.0ms
Test 15 (Standard)	Time: 7.417s | 7417.0ms
Test 15 (Parallel)	Time: 3.348s | 3348.0ms
Test 16 (Standard)	Time: 7.328s | 7328.0ms
Test 16 (Parallel)	Time: 3.167s | 3167.0ms
Test 17 (Standard)	Time: 7.564s | 7564.0ms
Test 17 (Parallel)	Time: 3.153s | 3153.0ms
Test 18 (Standard)	Time: 7.385s | 7385.0ms
Test 18 (Parallel)	Time: 3.22s | 3220.0ms
Test 19 (Standard)	Time: 7.424s | 7424.0ms
Test 19 (Parallel)	Time: 3.206s | 3206.0ms
Test 20 (Standard)	Time: 7.426s | 7426.0ms
Test 20 (Parallel)	Time: 3.247s | 3247.0ms
Test 21 (Standard)	Time: 7.549s | 7549.0ms
Test 21 (Parallel)	Time: 3.577s | 3577.0ms
Test 22 (Standard)	Time: 7.073s | 7073.0ms
Test 22 (Parallel)	Time: 3.239s | 3239.0ms
Test 23 (Standard)	Time: 5.786s | 5786.0ms
Test 23 (Parallel)	Time: 3.437s | 3437.0ms
Test 24 (Standard)	Time: 7.43s | 7430.0ms
Test 24 (Parallel)	Time: 3.325s | 3325.0ms
Test 25 (Standard)	Time: 7.469s | 7469.0ms
