LIST SIZE: 10000000 | NUMBER OF TESTS: 100
NUMBER OF THREADS: 8
Test 56 (Standard)	Time: 7.323s | 7323.0ms
Test 56 (Parallel)	Time: 2.936s | 2936.0ms
Test 57 (Standard)	Time: 7.266s | 7266.0ms
Test 57 (Parallel)	Time: 3.007s | 3007.0ms
Test 58 (Standard)	Time: 7.258s | 7258.0ms
Test 58 (Parallel)	Time: 2.927s | 2927.0ms
Test 59 (Standard)	Time: 7.288s | 7288.0ms
Test 59 (Parallel)	Time: 2.91s | 2910.0ms
Test 60 (Standard)	Time: 7.345s | 7345.0ms
Test 60 (Parallel)	Time: 2.947s | 2947.0ms
Test 61 (Standard)	Time: 7.295s | 7295.0ms
Test 61 (Parallel)	Time: 3.048s | 3048.0ms
Test 62 (Standard)	Time: 7.298s | 7298.0ms
Test 62 (Parallel)	Time: 2.939s | 2939.0ms
Test 63 (Standard)	Time: 7.275s | 7275.0ms
Test 63 (Parallel)	Time: 2.96s | 2960.0ms
Test 64 (Standard)	Time: 7.292s | 7292.0ms
Test 64 (Parallel)	Time: 2.913s | 2913.0ms
Test 65 (Standard)	Time: 7.333s | 7333.0ms
Test 65 (Parallel)	Time: 3.021s | 3021.0ms
Test 66 (Standard)	Time: 7.298s | 7298.0ms
Test 66 (Parallel)	Time: 2.965s | 2965.0ms
Test 67 (Standard)	Time: 7.324s | 7324.0ms
Test 67 (Parallel)	Time: 3.025s | 3025.0ms
Test 68 (Standard)	Time: 7.288s | 7288.0ms
Test 68 (Parallel)	Time: 2.956s | 2956.0ms
Test 69 (Standard)	Time: 7.291s | 7291.0ms
Test 69 (Parallel)	Time: 2.995s | 2995.0ms
Test 70 (Standard)	Time: 7.302s | 7302.0ms
Test 70 (Parallel)	Time: 2.926s | 2926.0ms
Test 71 (Standard)	Time: 7.3s | 7300.0ms
Test 71 (Parallel)	Time: 2.921s | 2921.0ms
Test 72 (Standard)	Time: 7.29s | 7290.0ms
Test 72 (Parallel)	Time: 2.948s | 2948.0ms
Test 73 (Standard)	Time: 7.319s | 7319.0ms
Test 73 (Parallel)	Time: 2.912s | 2912.0ms
Test 74 (Standard)	Time: 7.282s | 7282.0ms
Test 74 (Parallel)	Time: 2.989s | 2989.0ms
Test 75 (Standard)	Time: 7.282s | 7282.0ms
Test 75 (Parallel)	Time: 2.872s | 2872.0ms
Test 76 (Standard)	Time: 7.341s | 7341.0ms
Test 76 (Parallel)	Time: 2.991s | 2991.0ms
Test 77 (Standard)	Time: 7.339s | 7339.0ms
Test 77 (Parallel)	Time: 2.974s | 2974.0ms
Test 78 (Standard)	Time: 7.28s | 7280.0ms
Test 78 (Parallel)	Time: 2.943s | 2943.0ms
Test 79 (Standard)	Time: 7.278s | 7278.0ms
Test 79 (Parallel)	Time: 2.915s | 2915.0ms
Test 80 (Standard)	Time: 7.3s | 7300.0ms
Test 80 (Parallel)	Time: 2.895s | 2895.0ms
Test 81 (Standard)	Time: 7.294s | 7294.0ms
Test 81 (Parallel)	Time: 3.053s | 3053.0ms
Test 82 (Standard)	Time: 7.276s | 7276.0ms
Test 82 (Parallel)	Time: 2.965s | 2965.0ms
Test 83 (Standard)	Time: 7.276s | 7276.0ms
Test 83 (Parallel)	Time: 3.007s | 3007.0ms
Test 84 (Standard)	Time: 7.255s | 7255.0ms
Test 84 (Parallel)	Time: 2.949s | 2949.0ms
Test 85 (Standard)	Time: 7.297s | 7297.0ms
Test 85 (Parallel)	Time: 2.917s | 2917.0ms
Test 86 (Standard)	Time: 7.302s | 7302.0ms
Test 86 (Parallel)	Time: 2.902s | 2902.0ms
