ARRAY SIZE: 10000000 | NUMBER OF TESTS: 20
Test (ArrayList) 19 (4 Thread)	Time: 2226524.0microsec | Memory: 257953KB
Test (ArrayList) 19 (8 Thread)	Time: 1937739.0microsec | Memory: 175028KB
Test (ArrayList) 19 (16 Thread)	Time: 1846491.0microsec | Memory: 240089KB
Test (ArrayList) 20 (Single Thread)	Time: 4382331.0microsec | Memory: 163581KB
Test (ArrayList) 20 (4 Thread)	Time: 2251015.0microsec | Memory: 163581KB
Test (ArrayList) 20 (8 Thread)	Time: 1869721.0microsec | Memory: 175028KB
Test (ArrayList) 20 (16 Thread)	Time: 1808140.0microsec | Memory: 398463KB
Average Single Thread Time (ArrayList): 4278013.0microsec | Average Memory: 456743.0KB
Average Four Thread Time (ArrayList): 2178623.0microsec | Average Memory: 355072.0KB
Average Eight Thread Time (ArrayList): 1897497.0microsec | Average Memory: 418460.0KB
Average Sixteen Thread Time (ArrayList): 1837994.0microsec | Average Memory: 307831.0KB
