ARRAY SIZE: 10000000 | NUMBER OF TESTS: 100
NUMBER OF THREADS: 16 | KNAPSACK CAPACITY: 100000
Test 52 (Single Thread)	Time: 7.892s | 7892.0ms
Test 52 (Multi Thread)	Time: 3.098s | 3098.0ms
Test 53 (Single Thread)	Time: 8.809s | 8809.0ms
Test 53 (Multi Thread)	Time: 3.261s | 3261.0ms
Test 54 (Single Thread)	Time: 9.218s | 9218.0ms
Test 54 (Multi Thread)	Time: 3.451s | 3451.0ms
Test 55 (Single Thread)	Time: 8.503s | 8503.0ms
Test 55 (Multi Thread)	Time: 3.093s | 3093.0ms
Test 56 (Single Thread)	Time: 7.883s | 7883.0ms
Test 56 (Multi Thread)	Time: 3.414s | 3414.0ms
Test 57 (Single Thread)	Time: 8.968s | 8968.0ms
Test 57 (Multi Thread)	Time: 2.908s | 2908.0ms
Test 58 (Single Thread)	Time: 7.61s | 7610.0ms
Test 58 (Multi Thread)	Time: 3.032s | 3032.0ms
Test 59 (Single Thread)	Time: 7.458s | 7458.0ms
Test 59 (Multi Thread)	Time: 2.963s | 2963.0ms
Test 60 (Single Thread)	Time: 7.741s | 7741.0ms
Test 60 (Multi Thread)	Time: 3.333s | 3333.0ms
Test 61 (Single Thread)	Time: 9.341s | 9341.0ms
Test 61 (Multi Thread)	Time: 3.549s | 3549.0ms
Test 62 (Single Thread)	Time: 9.26s | 9260.0ms
Test 62 (Multi Thread)	Time: 2.913s | 2913.0ms
Test 63 (Single Thread)	Time: 7.348s | 7348.0ms
Test 63 (Multi Thread)	Time: 2.857s | 2857.0ms
Test 64 (Single Thread)	Time: 7.699s | 7699.0ms
Test 64 (Multi Thread)	Time: 2.948s | 2948.0ms
Test 65 (Single Thread)	Time: 7.239s | 7239.0ms
Test 65 (Multi Thread)	Time: 2.846s | 2846.0ms
Test 66 (Single Thread)	Time: 7.89s | 7890.0ms
Test 66 (Multi Thread)	Time: 2.907s | 2907.0ms
Test 67 (Single Thread)	Time: 7.511s | 7511.0ms
Test 67 (Multi Thread)	Time: 2.927s | 2927.0ms
Test 68 (Single Thread)	Time: 7.546s | 7546.0ms
Test 68 (Multi Thread)	Time: 2.995s | 2995.0ms
Test 69 (Single Thread)	Time: 9.638s | 9638.0ms
Test 69 (Multi Thread)	Time: 3.475s | 3475.0ms
Test 70 (Single Thread)	Time: 9.596s | 9596.0ms
Test 70 (Multi Thread)	Time: 3.331s | 3331.0ms
Test 71 (Single Thread)	Time: 9.095s | 9095.0ms
Test 71 (Multi Thread)	Time: 3.343s | 3343.0ms
Test 72 (Single Thread)	Time: 8.462s | 8462.0ms
Test 72 (Multi Thread)	Time: 3.702s | 3702.0ms
Test 73 (Single Thread)	Time: 9.059s | 9059.0ms
Test 73 (Multi Thread)	Time: 3.414s | 3414.0ms
Test 74 (Single Thread)	Time: 8.042s | 8042.0ms
Test 74 (Multi Thread)	Time: 3.341s | 3341.0ms
Test 75 (Single Thread)	Time: 9.416s | 9416.0ms
Test 75 (Multi Thread)	Time: 3.295s | 3295.0ms
Test 76 (Single Thread)	Time: 8.296s | 8296.0ms
Test 76 (Multi Thread)	Time: 3.572s | 3572.0ms
Test 77 (Single Thread)	Time: 9.041s | 9041.0ms
Test 77 (Multi Thread)	Time: 3.343s | 3343.0ms
Test 78 (Single Thread)	Time: 7.797s | 7797.0ms
Test 78 (Multi Thread)	Time: 3.397s | 3397.0ms
Test 79 (Single Thread)	Time: 8.317s | 8317.0ms
Test 79 (Multi Thread)	Time: 3.395s | 3395.0ms
Test 80 (Single Thread)	Time: 9.455s | 9455.0ms
Test 80 (Multi Thread)	Time: 3.222s | 3222.0ms
Test 81 (Single Thread)	Time: 7.753s | 7753.0ms
Test 81 (Multi Thread)	Time: 3.045s | 3045.0ms
Test 82 (Single Thread)	Time: 7.857s | 7857.0ms
Test 82 (Multi Thread)	Time: 3.624s | 3624.0ms
Test 83 (Single Thread)	Time: 8.605s | 8605.0ms
Test 83 (Multi Thread)	Time: 3.154s | 3154.0ms
Test 84 (Single Thread)	Time: 9.204s | 9204.0ms
Test 84 (Multi Thread)	Time: 3.44s | 3440.0ms
Test 85 (Single Thread)	Time: 8.184s | 8184.0ms
Test 85 (Multi Thread)	Time: 3.298s | 3298.0ms
Test 86 (Single Thread)	Time: 8.39s | 8390.0ms
Test 86 (Multi Thread)	Time: 3.381s | 3381.0ms
Test 87 (Single Thread)	Time: 8.326s | 8326.0ms
Test 87 (Multi Thread)	Time: 3.369s | 3369.0ms
Test 88 (Single Thread)	Time: 8.442s | 8442.0ms
Test 88 (Multi Thread)	Time: 3.16s | 3160.0ms
Test 89 (Single Thread)	Time: 8.443s | 8443.0ms
Test 89 (Multi Thread)	Time: 3.087s | 3087.0ms
Test 90 (Single Thread)	Time: 7.666s | 7666.0ms
Test 90 (Multi Thread)	Time: 3.001s | 3001.0ms
Test 91 (Single Thread)	Time: 7.509s | 7509.0ms
Test 91 (Multi Thread)	Time: 2.978s | 2978.0ms
Test 92 (Single Thread)	Time: 8.727s | 8727.0ms
Test 92 (Multi Thread)	Time: 3.07s | 3070.0ms
Test 93 (Single Thread)	Time: 9.86s | 9860.0ms
Test 93 (Multi Thread)	Time: 3.503s | 3503.0ms
Test 94 (Single Thread)	Time: 8.988s | 8988.0ms
Test 94 (Multi Thread)	Time: 3.29s | 3290.0ms
Test 95 (Single Thread)	Time: 8.687s | 8687.0ms
Test 95 (Multi Thread)	Time: 3.199s | 3199.0ms
Test 96 (Single Thread)	Time: 9.112s | 9112.0ms
Test 96 (Multi Thread)	Time: 3.145s | 3145.0ms
Test 97 (Single Thread)	Time: 8.467s | 8467.0ms
Test 97 (Multi Thread)	Time: 3.284s | 3284.0ms
Test 98 (Single Thread)	Time: 8.129s | 8129.0ms
Test 98 (Multi Thread)	Time: 3.373s | 3373.0ms
Test 99 (Single Thread)	Time: 8.784s | 8784.0ms
Test 99 (Multi Thread)	Time: 3.077s | 3077.0ms
Test 100 (Single Thread)	Time: 9.73s | 9730.0ms
Test 100 (Multi Thread)	Time: 3.893s | 3893.0ms
Average Single Thread Time: 8.839s | 8839.0ms
Average Multi Thread Time: 3.419s | 3419.0ms
