ARRAY SIZE: 10000000 | NUMBER OF TESTS: 100
NUMBER OF THREADS: 8 | KNAPSACK CAPACITY: 100000
Test 1 (Single Thread)	Time: 6.986s | 6986.0ms
Test 1 (Multi Thread)	Time: 4.272s | 4272.0ms
Test 2 (Single Thread)	Time: 8.468s | 8468.0ms
Test 2 (Multi Thread)	Time: 5.002s | 5002.0ms
Test 3 (Single Thread)	Time: 8.785s | 8785.0ms
Test 3 (Multi Thread)	Time: 3.609s | 3609.0ms
Test 4 (Single Thread)	Time: 8.568s | 8568.0ms
Test 4 (Multi Thread)	Time: 4.117s | 4117.0ms
Test 5 (Single Thread)	Time: 8.324s | 8324.0ms
Test 5 (Multi Thread)	Time: 3.729s | 3729.0ms
Test 6 (Single Thread)	Time: 7.95s | 7950.0ms
Test 6 (Multi Thread)	Time: 3.77s | 3770.0ms
Test 7 (Single Thread)	Time: 9.354s | 9354.0ms
Test 7 (Multi Thread)	Time: 4.153s | 4153.0ms
Test 8 (Single Thread)	Time: 8.234s | 8234.0ms
Test 8 (Multi Thread)	Time: 3.34s | 3340.0ms
Test 9 (Single Thread)	Time: 7.976s | 7976.0ms
Test 9 (Multi Thread)	Time: 3.613s | 3613.0ms
Test 10 (Single Thread)	Time: 8.896s | 8896.0ms
Test 10 (Multi Thread)	Time: 3.883s | 3883.0ms
Test 11 (Single Thread)	Time: 9.439s | 9439.0ms
Test 11 (Multi Thread)	Time: 3.669s | 3669.0ms
Test 12 (Single Thread)	Time: 7.99s | 7990.0ms
Test 12 (Multi Thread)	Time: 3.603s | 3603.0ms
Test 13 (Single Thread)	Time: 8.539s | 8539.0ms
Test 13 (Multi Thread)	Time: 3.506s | 3506.0ms
Test 14 (Single Thread)	Time: 7.893s | 7893.0ms
Test 14 (Multi Thread)	Time: 3.433s | 3433.0ms
Test 15 (Single Thread)	Time: 7.984s | 7984.0ms
Test 15 (Multi Thread)	Time: 4.183s | 4183.0ms
Test 16 (Single Thread)	Time: 9.25s | 9250.0ms
Test 16 (Multi Thread)	Time: 3.824s | 3824.0ms
Test 17 (Single Thread)	Time: 8.065s | 8065.0ms
Test 17 (Multi Thread)	Time: 3.659s | 3659.0ms
Test 18 (Single Thread)	Time: 9.24s | 9240.0ms
Test 18 (Multi Thread)	Time: 4.078s | 4078.0ms
Test 19 (Single Thread)	Time: 8.478s | 8478.0ms
Test 19 (Multi Thread)	Time: 3.689s | 3689.0ms
Test 20 (Single Thread)	Time: 9.508s | 9508.0ms
Test 20 (Multi Thread)	Time: 4.358s | 4358.0ms
Test 21 (Single Thread)	Time: 9.651s | 9651.0ms
Test 21 (Multi Thread)	Time: 3.973s | 3973.0ms
Test 22 (Single Thread)	Time: 9.509s | 9509.0ms
Test 22 (Multi Thread)	Time: 3.508s | 3508.0ms
Test 23 (Single Thread)	Time: 9.042s | 9042.0ms
Test 23 (Multi Thread)	Time: 3.633s | 3633.0ms
Test 24 (Single Thread)	Time: 9.555s | 9555.0ms
Test 24 (Multi Thread)	Time: 4.177s | 4177.0ms
Test 25 (Single Thread)	Time: 9.947s | 9947.0ms
Test 25 (Multi Thread)	Time: 3.923s | 3923.0ms
Test 26 (Single Thread)	Time: 9.29s | 9290.0ms
Test 26 (Multi Thread)	Time: 3.72s | 3720.0ms
Test 27 (Single Thread)	Time: 9.384s | 9384.0ms
Test 27 (Multi Thread)	Time: 3.767s | 3767.0ms
Test 28 (Single Thread)	Time: 9.239s | 9239.0ms
Test 28 (Multi Thread)	Time: 4.063s | 4063.0ms
Test 29 (Single Thread)	Time: 8.996s | 8996.0ms
Test 29 (Multi Thread)	Time: 4.057s | 4057.0ms
Test 30 (Single Thread)	Time: 9.179s | 9179.0ms
Test 30 (Multi Thread)	Time: 3.816s | 3816.0ms
Test 31 (Single Thread)	Time: 8.747s | 8747.0ms
Test 31 (Multi Thread)	Time: 3.611s | 3611.0ms
Test 32 (Single Thread)	Time: 9.002s | 9002.0ms
Test 32 (Multi Thread)	Time: 3.609s | 3609.0ms
Test 33 (Single Thread)	Time: 8.879s | 8879.0ms
Test 33 (Multi Thread)	Time: 3.663s | 3663.0ms
Test 34 (Single Thread)	Time: 8.666s | 8666.0ms
Test 34 (Multi Thread)	Time: 3.692s | 3692.0ms
Test 35 (Single Thread)	Time: 8.936s | 8936.0ms
Test 35 (Multi Thread)	Time: 3.532s | 3532.0ms
Test 36 (Single Thread)	Time: 8.792s | 8792.0ms
Test 36 (Multi Thread)	Time: 3.663s | 3663.0ms
Test 37 (Single Thread)	Time: 9.121s | 9121.0ms
Test 37 (Multi Thread)	Time: 4.45s | 4450.0ms
Test 38 (Single Thread)	Time: 9.821s | 9821.0ms
Test 38 (Multi Thread)	Time: 4.031s | 4031.0ms
Test 39 (Single Thread)	Time: 9.565s | 9565.0ms
Test 39 (Multi Thread)	Time: 3.925s | 3925.0ms
Test 40 (Single Thread)	Time: 8.933s | 8933.0ms
Test 40 (Multi Thread)	Time: 4.373s | 4373.0ms
Test 41 (Single Thread)	Time: 10.607s | 10607.0ms
Test 41 (Multi Thread)	Time: 4.236s | 4236.0ms
Test 42 (Single Thread)	Time: 9.456s | 9456.0ms
Test 42 (Multi Thread)	Time: 3.679s | 3679.0ms
Test 43 (Single Thread)	Time: 9.554s | 9554.0ms
Test 43 (Multi Thread)	Time: 3.706s | 3706.0ms
Test 44 (Single Thread)	Time: 9.033s | 9033.0ms
Test 44 (Multi Thread)	Time: 4.002s | 4002.0ms
Test 45 (Single Thread)	Time: 9.598s | 9598.0ms
Test 45 (Multi Thread)	Time: 3.563s | 3563.0ms
Test 46 (Single Thread)	Time: 8.683s | 8683.0ms
Test 46 (Multi Thread)	Time: 3.606s | 3606.0ms
Test 47 (Single Thread)	Time: 9.257s | 9257.0ms
Test 47 (Multi Thread)	Time: 3.326s | 3326.0ms
Test 48 (Single Thread)	Time: 8.541s | 8541.0ms
Test 48 (Multi Thread)	Time: 3.831s | 3831.0ms
Test 49 (Single Thread)	Time: 9.205s | 9205.0ms
Test 49 (Multi Thread)	Time: 3.51s | 3510.0ms
Test 50 (Single Thread)	Time: 8.642s | 8642.0ms
Test 50 (Multi Thread)	Time: 3.586s | 3586.0ms
Test 51 (Single Thread)	Time: 9.112s | 9112.0ms
Test 51 (Multi Thread)	Time: 3.836s | 3836.0ms
