ARRAY SIZE: 10000000 | NUMBER OF TESTS: 100
NUMBER OF THREADS: 16
Test 58 (Standard)	Time: 4.044s | 4044.0ms
Test 58 (Parallel)	Time: 1.66s | 1660ms
Test 59 (Standard)	Time: 4.099s | 4099.0ms
Test 59 (Parallel)	Time: 1.703s | 1703ms
Test 60 (Standard)	Time: 4.191s | 4191.0ms
Test 60 (Parallel)	Time: 1.929s | 1929ms
Test 61 (Standard)	Time: 4.261s | 4261.0ms
Test 61 (Parallel)	Time: 1.932s | 1932ms
Test 62 (Standard)	Time: 4.069s | 4069.0ms
Test 62 (Parallel)	Time: 1.79s | 1790ms
Test 63 (Standard)	Time: 3.976s | 3976.0ms
Test 63 (Parallel)	Time: 1.96s | 1960ms
Test 64 (Standard)	Time: 4.139s | 4139.0ms
Test 64 (Parallel)	Time: 2.033s | 2033ms
Test 65 (Standard)	Time: 5.247s | 5247.0ms
Test 65 (Parallel)	Time: 2.277s | 2277ms
Test 66 (Standard)	Time: 4.527s | 4527.0ms
Test 66 (Parallel)	Time: 2.536s | 2536ms
Test 67 (Standard)	Time: 4.628s | 4628.0ms
Test 67 (Parallel)	Time: 2.26s | 2260ms
Test 68 (Standard)	Time: 5.637s | 5637.0ms
Test 68 (Parallel)	Time: 2.305s | 2305ms
Test 69 (Standard)	Time: 4.201s | 4201.0ms
Test 69 (Parallel)	Time: 1.815s | 1815ms
Test 70 (Standard)	Time: 4.606s | 4606.0ms
Test 70 (Parallel)	Time: 2.176s | 2176ms
Test 71 (Standard)	Time: 4.676s | 4676.0ms
Test 71 (Parallel)	Time: 2.179s | 2179ms
Test 72 (Standard)	Time: 4.735s | 4735.0ms
Test 72 (Parallel)	Time: 2.079s | 2079ms
Test 73 (Standard)	Time: 4.29s | 4290.0ms
Test 73 (Parallel)	Time: 2.085s | 2085ms
Test 74 (Standard)	Time: 4.295s | 4295.0ms
Test 74 (Parallel)	Time: 1.968s | 1968ms
Test 75 (Standard)	Time: 5.233s | 5233.0ms
Test 75 (Parallel)	Time: 2.03s | 2030ms
Test 76 (Standard)	Time: 4.281s | 4281.0ms
Test 76 (Parallel)	Time: 1.656s | 1656ms
Test 77 (Standard)	Time: 4.561s | 4561.0ms
Test 77 (Parallel)	Time: 1.842s | 1842ms
Test 78 (Standard)	Time: 4.549s | 4549.0ms
Test 78 (Parallel)	Time: 1.747s | 1747ms
Test 79 (Standard)	Time: 5.26s | 5260.0ms
Test 79 (Parallel)	Time: 2.019s | 2019ms
Test 80 (Standard)	Time: 4.729s | 4729.0ms
Test 80 (Parallel)	Time: 1.906s | 1906ms
Test 81 (Standard)	Time: 4.509s | 4509.0ms
Test 81 (Parallel)	Time: 1.819s | 1819ms
Test 82 (Standard)	Time: 4.958s | 4958.0ms
Test 82 (Parallel)	Time: 2.115s | 2115ms
Test 83 (Standard)	Time: 4.761s | 4761.0ms
Test 83 (Parallel)	Time: 1.91s | 1910ms
Test 84 (Standard)	Time: 4.659s | 4659.0ms
Test 84 (Parallel)	Time: 2.228s | 2228ms
Test 85 (Standard)	Time: 4.326s | 4326.0ms
Test 85 (Parallel)	Time: 2.104s | 2104ms
Test 86 (Standard)	Time: 4.351s | 4351.0ms
Test 86 (Parallel)	Time: 2.017s | 2017ms
Test 87 (Standard)	Time: 5.651s | 5651.0ms
Test 87 (Parallel)	Time: 2.152s | 2152ms
Test 88 (Standard)	Time: 4.402s | 4402.0ms
Test 88 (Parallel)	Time: 1.97s | 1970ms
Test 89 (Standard)	Time: 4.034s | 4034.0ms
Test 89 (Parallel)	Time: 1.799s | 1799ms
Test 90 (Standard)	Time: 4.348s | 4348.0ms
Test 90 (Parallel)	Time: 2.31s | 2310ms
Test 91 (Standard)	Time: 4.975s | 4975.0ms
Test 91 (Parallel)	Time: 1.91s | 1910ms
Test 92 (Standard)	Time: 4.498s | 4498.0ms
Test 92 (Parallel)	Time: 2.018s | 2018ms
Test 93 (Standard)	Time: 4.732s | 4732.0ms
Test 93 (Parallel)	Time: 1.886s | 1886ms
Test 94 (Standard)	Time: 4.974s | 4974.0ms
Test 94 (Parallel)	Time: 2.198s | 2198ms
Test 95 (Standard)	Time: 5.25s | 5250.0ms
Test 95 (Parallel)	Time: 2.149s | 2149ms
Test 96 (Standard)	Time: 4.706s | 4706.0ms
Test 96 (Parallel)	Time: 2.021s | 2021ms
Test 97 (Standard)	Time: 4.265s | 4265.0ms
Test 97 (Parallel)	Time: 2.032s | 2032ms
Test 98 (Standard)	Time: 4.34s | 4340.0ms
Test 98 (Parallel)	Time: 1.995s | 1995ms
Test 99 (Standard)	Time: 4.096s | 4096.0ms
Test 99 (Parallel)	Time: 1.853s | 1853ms
Test 100 (Standard)	Time: 4.955s | 4955.0ms
Test 100 (Parallel)	Time: 2.07s | 2070ms
Average time for standard merge sort: 4.562s | 4562.0ms
Average time for parallel merge sort: 1.982s | 1982ms
