ARRAY SIZE: 10000000 | NUMBER OF TESTS: 100
NUMBER OF THREADS: 4
Test 1 (Standard)	Time: 3.171s | 3171.0ms
Test 1 (Parallel)	Time: 2.861s | 2861ms
Test 2 (Standard)	Time: 5.028s | 5028.0ms
Test 2 (Parallel)	Time: 2.532s | 2532ms
Test 3 (Standard)	Time: 4.826s | 4826.0ms
Test 3 (Parallel)	Time: 2.203s | 2203ms
Test 4 (Standard)	Time: 4.638s | 4638.0ms
Test 4 (Parallel)	Time: 2.088s | 2088ms
Test 5 (Standard)	Time: 4.804s | 4804.0ms
Test 5 (Parallel)	Time: 2.237s | 2237ms
Test 6 (Standard)	Time: 4.768s | 4768.0ms
Test 6 (Parallel)	Time: 2.801s | 2801ms
Test 7 (Standard)	Time: 4.778s | 4778.0ms
Test 7 (Parallel)	Time: 2.827s | 2827ms
Test 8 (Standard)	Time: 4.896s | 4896.0ms
Test 8 (Parallel)	Time: 3.389s | 3389ms
Test 9 (Standard)	Time: 4.606s | 4606.0ms
Test 9 (Parallel)	Time: 2.265s | 2265ms
Test 10 (Standard)	Time: 4.314s | 4314.0ms
Test 10 (Parallel)	Time: 2.435s | 2435ms
Test 11 (Standard)	Time: 4.526s | 4526.0ms
Test 11 (Parallel)	Time: 2.569s | 2569ms
Test 12 (Standard)	Time: 4.358s | 4358.0ms
Test 12 (Parallel)	Time: 2.861s | 2861ms
Test 13 (Standard)	Time: 4.512s | 4512.0ms
Test 13 (Parallel)	Time: 2.481s | 2481ms
Test 14 (Standard)	Time: 5.01s | 5010.0ms
Test 14 (Parallel)	Time: 2.765s | 2765ms
Test 15 (Standard)	Time: 5.048s | 5048.0ms
Test 15 (Parallel)	Time: 2.897s | 2897ms
Test 16 (Standard)	Time: 5.295s | 5295.0ms
Test 16 (Parallel)	Time: 2.983s | 2983ms
Test 17 (Standard)	Time: 4.557s | 4557.0ms
Test 17 (Parallel)	Time: 2.074s | 2074ms
Test 18 (Standard)	Time: 4.386s | 4386.0ms
Test 18 (Parallel)	Time: 2.077s | 2077ms
Test 19 (Standard)	Time: 4.547s | 4547.0ms
Test 19 (Parallel)	Time: 2.597s | 2597ms
Test 20 (Standard)	Time: 5.436s | 5436.0ms
Test 20 (Parallel)	Time: 2.445s | 2445ms
Test 21 (Standard)	Time: 4.487s | 4487.0ms
Test 21 (Parallel)	Time: 2.49s | 2490ms
Test 22 (Standard)	Time: 4.47s | 4470.0ms
Test 22 (Parallel)	Time: 2.743s | 2743ms
Test 23 (Standard)	Time: 4.679s | 4679.0ms
Test 23 (Parallel)	Time: 2.214s | 2214ms
Test 24 (Standard)	Time: 4.282s | 4282.0ms
Test 24 (Parallel)	Time: 2.73s | 2730ms
Test 25 (Standard)	Time: 4.278s | 4278.0ms
Test 25 (Parallel)	Time: 2.143s | 2143ms
Test 26 (Standard)	Time: 5.144s | 5144.0ms
Test 26 (Parallel)	Time: 2.379s | 2379ms
Test 27 (Standard)	Time: 4.855s | 4855.0ms
Test 27 (Parallel)	Time: 2.561s | 2561ms
Test 28 (Standard)	Time: 4.802s | 4802.0ms
Test 28 (Parallel)	Time: 2.497s | 2497ms
Test 29 (Standard)	Time: 4.682s | 4682.0ms
Test 29 (Parallel)	Time: 2.673s | 2673ms
Test 30 (Standard)	Time: 4.646s | 4646.0ms
Test 30 (Parallel)	Time: 2.449s | 2449ms
Test 31 (Standard)	Time: 4.441s | 4441.0ms
Test 31 (Parallel)	Time: 2.878s | 2878ms
Test 32 (Standard)	Time: 5.287s | 5287.0ms
Test 32 (Parallel)	Time: 2.422s | 2422ms
Test 33 (Standard)	Time: 4.696s | 4696.0ms
Test 33 (Parallel)	Time: 2.445s | 2445ms
Test 34 (Standard)	Time: 4.445s | 4445.0ms
Test 34 (Parallel)	Time: 2.626s | 2626ms
Test 35 (Standard)	Time: 5.976s | 5976.0ms
Test 35 (Parallel)	Time: 3.216s | 3216ms
Test 36 (Standard)	Time: 5.048s | 5048.0ms
Test 36 (Parallel)	Time: 2.398s | 2398ms
Test 37 (Standard)	Time: 4.405s | 4405.0ms
Test 37 (Parallel)	Time: 2.516s | 2516ms
Test 38 (Standard)	Time: 4.796s | 4796.0ms
Test 38 (Parallel)	Time: 2.699s | 2699ms
Test 39 (Standard)	Time: 4.391s | 4391.0ms
Test 39 (Parallel)	Time: 2.252s | 2252ms
Test 40 (Standard)	Time: 4.653s | 4653.0ms
Test 40 (Parallel)	Time: 2.659s | 2659ms
Test 41 (Standard)	Time: 4.364s | 4364.0ms
Test 41 (Parallel)	Time: 2.407s | 2407ms
Test 42 (Standard)	Time: 4.726s | 4726.0ms
Test 42 (Parallel)	Time: 2.057s | 2057ms
Test 43 (Standard)	Time: 4.403s | 4403.0ms
Test 43 (Parallel)	Time: 2.38s | 2380ms
Test 44 (Standard)	Time: 4.385s | 4385.0ms
Test 44 (Parallel)	Time: 2.192s | 2192ms
Test 45 (Standard)	Time: 4.161s | 4161.0ms
Test 45 (Parallel)	Time: 2.459s | 2459ms
Test 46 (Standard)	Time: 4.154s | 4154.0ms
Test 46 (Parallel)	Time: 2.294s | 2294ms
Test 47 (Standard)	Time: 4.768s | 4768.0ms
Test 47 (Parallel)	Time: 2.228s | 2228ms
Test 48 (Standard)	Time: 4.177s | 4177.0ms
Test 48 (Parallel)	Time: 2.62s | 2620ms
Test 49 (Standard)	Time: 4.767s | 4767.0ms
Test 49 (Parallel)	Time: 2.061s | 2061ms
Test 50 (Standard)	Time: 4.394s | 4394.0ms
Test 50 (Parallel)	Time: 2.181s | 2181ms
Test 51 (Standard)	Time: 4.256s | 4256.0ms
Test 51 (Parallel)	Time: 2.227s | 2227ms
Test 52 (Standard)	Time: 4.449s | 4449.0ms
Test 52 (Parallel)	Time: 2.215s | 2215ms
Test 53 (Standard)	Time: 5.161s | 5161.0ms
Test 53 (Parallel)	Time: 3.448s | 3448ms
Test 54 (Standard)	Time: 4.685s | 4685.0ms
Test 54 (Parallel)	Time: 2.698s | 2698ms
Test 55 (Standard)	Time: 5.422s | 5422.0ms
Test 55 (Parallel)	Time: 2.801s | 2801ms
Test 56 (Standard)	Time: 4.96s | 4960.0ms
Test 56 (Parallel)	Time: 2.555s | 2555ms
Test 57 (Standard)	Time: 4.708s | 4708.0ms
Test 57 (Parallel)	Time: 2.42s | 2420ms
Test 58 (Standard)	Time: 4.495s | 4495.0ms
Test 58 (Parallel)	Time: 2.834s | 2834ms
Test 59 (Standard)	Time: 4.646s | 4646.0ms
Test 59 (Parallel)	Time: 2.675s | 2675ms
Test 60 (Standard)	Time: 4.771s | 4771.0ms
Test 60 (Parallel)	Time: 3.121s | 3121ms
Test 61 (Standard)	Time: 4.469s | 4469.0ms
Test 61 (Parallel)	Time: 2.251s | 2251ms
Test 62 (Standard)	Time: 4.566s | 4566.0ms
Test 62 (Parallel)	Time: 2.67s | 2670ms
Test 63 (Standard)	Time: 4.448s | 4448.0ms
Test 63 (Parallel)	Time: 2.198s | 2198ms
Test 64 (Standard)	Time: 4.303s | 4303.0ms
Test 64 (Parallel)	Time: 2.859s | 2859ms
Test 65 (Standard)	Time: 4.353s | 4353.0ms
Test 65 (Parallel)	Time: 2.63s | 2630ms
Test 66 (Standard)	Time: 4.202s | 4202.0ms
Test 66 (Parallel)	Time: 2.444s | 2444ms
Test 67 (Standard)	Time: 4.376s | 4376.0ms
Test 67 (Parallel)	Time: 2.708s | 2708ms
Test 68 (Standard)	Time: 4.542s | 4542.0ms
Test 68 (Parallel)	Time: 2.581s | 2581ms
Test 69 (Standard)	Time: 4.86s | 4860.0ms
Test 69 (Parallel)	Time: 2.119s | 2119ms
Test 70 (Standard)	Time: 4.655s | 4655.0ms
Test 70 (Parallel)	Time: 2.413s | 2413ms
Test 71 (Standard)	Time: 4.456s | 4456.0ms
Test 71 (Parallel)	Time: 2.375s | 2375ms
Test 72 (Standard)	Time: 4.264s | 4264.0ms
Test 72 (Parallel)	Time: 2.433s | 2433ms
Test 73 (Standard)	Time: 4.384s | 4384.0ms
Test 73 (Parallel)	Time: 2.224s | 2224ms
Test 74 (Standard)	Time: 4.542s | 4542.0ms
Test 74 (Parallel)	Time: 2.216s | 2216ms
Test 75 (Standard)	Time: 4.786s | 4786.0ms
Test 75 (Parallel)	Time: 2.381s | 2381ms
Test 76 (Standard)	Time: 4.56s | 4560.0ms
Test 76 (Parallel)	Time: 2.134s | 2134ms
Test 77 (Standard)	Time: 4.558s | 4558.0ms
Test 77 (Parallel)	Time: 2.219s | 2219ms
Test 78 (Standard)	Time: 4.555s | 4555.0ms
Test 78 (Parallel)	Time: 2.168s | 2168ms
Test 79 (Standard)	Time: 4.433s | 4433.0ms
